Title,Company,Location,Description,URL
Data Analyst I,Rockland Trust,"Rockland, MA 02370","A minimum of 2-3 years of data analytics experience preferred.
Generate insights from various data sources to develop strategies for use in strategic planning…",https://www.indeed.com/viewjob?jk=d0d7845757a21d5a&from=serp&vjs=3
Billing Clerk / POS Data Entry,"Klafters, Inc/ Smoker Friendly","New Castle, PA 16101","Accuracy in data entry is critical.
Accurate data entry for credit card processing and invoice processing.
At least 1 year of billing or data entry experience…",https://www.indeed.com/viewjob?jk=71b16449d6611bdd&from=serp&vjs=3
BI Data Analytics Reporting Analyst,ORIX,"Dallas, TX","Develop and execute database queries and conduct data analysis.
Assist in data collection and reporting for rating agencies with respect to statistical…",https://www.indeed.com/viewjob?jk=1e12a78a1f616631&from=serp&vjs=3
Data Analyst - CSS Core Services,Hewlett Packard,"Vancouver, WA 98683 (Bella Vista area)","5+ years of experience in data analysis, data visualization, and web analytics.
This role involves working with large and complex datasets to develop insightful…",https://www.indeed.com/viewjob?jk=7fc3520a92231728&from=serp&vjs=3
Clinical Data Analyst - BMT Support - Flexi,University of Alabama at Birmingham,"Birmingham, AL",To obtain clinical data entered in to medical record and to interpret and analyze the data for required reporting to the Center for International Blood and…,https://www.indeed.com/viewjob?jk=b9a72de9aed526ed&from=serp&vjs=3
HRIS Data Specialist,Childrens Hospital of The Kings Daughters,"Norfolk, VA 23510 (Downtown area)","Analyze and ensure data integrity using effective audit tools and practices.
Strong data entry skills with keen attention to detail and consistently proofing…",https://www.indeed.com/viewjob?jk=8aeb04536c550e5b&from=serp&vjs=3
Quality Assurance Data Analyst,"Amerilife Group, LLC","Clearwater, FL",The Data Analyst primarily functions as a data specialist providing support to clients and internal staff in the tracking and organization of various data files…,https://www.indeed.com/viewjob?jk=7b3d1ef77611eeb2&from=serp&vjs=3
Data Coordinator,Freshfields Bruckhaus Deringer LLP,"Raleigh, NC","Inputs into the documentation of data governance to ensure end to end data quality, accuracy and consistency.
Experience in running reporting or insights.",https://www.indeed.com/viewjob?jk=659aee1ca7939fa0&from=serp&vjs=3
Sophomore Summer Business Analyst,McKinsey & Company,"Atlanta, GA 30303 (Downtown area)","You’ll work in teams of typically 3-5 consultants, playing an active role in all aspects of the engagement.
This includes gathering and analyzing information,…",https://www.indeed.com/viewjob?jk=cce060fbb7a85fd9&from=serp&vjs=3
Strategy & Data Analytics Specialist,Transformation Church,"Fort Mill, SC 29707","Data Management: Support TC’s data management, including data governance, data quality, and data analysis.
Reports To: Strategy & Data Analytics Lead.",https://www.indeed.com/viewjob?jk=350f6492b983de54&from=serp&vjs=3
"Customer Engineer II, Data Analytics, Google Cloud",Google,"Boulder, CO (Whittier area)","Experience with developing data warehousing, data lakes, batch/real-time event processing, streaming, data processing (e.g., ETL/ELT), data migrations, data…",https://www.indeed.com/viewjob?jk=c38af8ae8553f55f&from=serp&vjs=3
Data Analytics Developer,Logan Health,"Kalispell, MT 59901",Optimizes data warehouse performance by dealing with data conflicts that arise and performs routine maintenance as needed.,https://www.indeed.com/viewjob?jk=cd2b773bed8221e3&from=serp&vjs=3
Static Data Associate,StoneX Group,"Chicago, IL 60604 (The Loop area)","Regularly audit static data files to ensure accuracy.
Responsible for processing static data in GMI specifically new account and commission and fee tables as…",https://www.indeed.com/viewjob?jk=5df0783c11a4047a&from=serp&vjs=3
Enterprise Data Operations Supervisor - REMOTE,"Ferguson Enterprises, LLC","Remote in Richmond, VA 23219","Proposing changes in data production processes to reduce errors and improve data quality.
Exhibits basic understanding of data governance.",https://www.indeed.com/viewjob?jk=4a0b1186f815460c&from=serp&vjs=3
Data Engineer,Index Analytics Llc,"Windsor Mill, MD 21244 (Howard Park area)","Cognos and SAS interaction with the data infrastructure.
Experience in Big Data and working in a data engineering role.
5 + years of overall work experience.",https://www.indeed.com/viewjob?jk=de1c08431607a20b&from=serp&vjs=3
[HackerRank] Software Engineer Graduate (AI Platform) - 2025 Start (BS/MS),TikTok,"San Jose, CA","Strong CS fundamentals (algorithms and data structures) and problem-solving skills.
By utilizing AI model training, optimization, deployment and applications,…",https://www.indeed.com/viewjob?jk=faee7de8a0ceb923&from=serp&vjs=3
Billing Clerk / POS Data Entry,"Klafters, Inc/ Smoker Friendly","New Castle, PA 16101","Accuracy in data entry is critical.
Accurate data entry for credit card processing and invoice processing.
At least 1 year of billing or data entry experience…",https://www.indeed.com/viewjob?jk=71b16449d6611bdd&from=serp&vjs=3
BI Data Analytics Reporting Analyst,ORIX,"Dallas, TX","Develop and execute database queries and conduct data analysis.
Assist in data collection and reporting for rating agencies with respect to statistical…",https://www.indeed.com/viewjob?jk=1e12a78a1f616631&from=serp&vjs=3
Data Analyst - CSS Core Services,Hewlett Packard,"Vancouver, WA 98683 (Bella Vista area)","5+ years of experience in data analysis, data visualization, and web analytics.
This role involves working with large and complex datasets to develop insightful…",https://www.indeed.com/viewjob?jk=7fc3520a92231728&from=serp&vjs=3
Clinical Data Analyst - BMT Support - Flexi,University of Alabama at Birmingham,"Birmingham, AL",To obtain clinical data entered in to medical record and to interpret and analyze the data for required reporting to the Center for International Blood and…,https://www.indeed.com/viewjob?jk=b9a72de9aed526ed&from=serp&vjs=3
HRIS Data Specialist,Childrens Hospital of The Kings Daughters,"Norfolk, VA 23510 (Downtown area)","Analyze and ensure data integrity using effective audit tools and practices.
Strong data entry skills with keen attention to detail and consistently proofing…",https://www.indeed.com/viewjob?jk=8aeb04536c550e5b&from=serp&vjs=3
Quality Assurance Data Analyst,"Amerilife Group, LLC","Clearwater, FL",The Data Analyst primarily functions as a data specialist providing support to clients and internal staff in the tracking and organization of various data files…,https://www.indeed.com/viewjob?jk=7b3d1ef77611eeb2&from=serp&vjs=3
Data Coordinator,Freshfields Bruckhaus Deringer LLP,"Raleigh, NC","Inputs into the documentation of data governance to ensure end to end data quality, accuracy and consistency.
Experience in running reporting or insights.",https://www.indeed.com/viewjob?jk=659aee1ca7939fa0&from=serp&vjs=3
Sophomore Summer Business Analyst,McKinsey & Company,"Atlanta, GA 30303 (Downtown area)","You’ll work in teams of typically 3-5 consultants, playing an active role in all aspects of the engagement.
This includes gathering and analyzing information,…",https://www.indeed.com/viewjob?jk=cce060fbb7a85fd9&from=serp&vjs=3
Strategy & Data Analytics Specialist,Transformation Church,"Fort Mill, SC 29707","Data Management: Support TC’s data management, including data governance, data quality, and data analysis.
Reports To: Strategy & Data Analytics Lead.",https://www.indeed.com/viewjob?jk=350f6492b983de54&from=serp&vjs=3
"Customer Engineer II, Data Analytics, Google Cloud",Google,"Boulder, CO (Whittier area)","Experience with developing data warehousing, data lakes, batch/real-time event processing, streaming, data processing (e.g., ETL/ELT), data migrations, data…",https://www.indeed.com/viewjob?jk=c38af8ae8553f55f&from=serp&vjs=3
Data Analytics Developer,Logan Health,"Kalispell, MT 59901",Optimizes data warehouse performance by dealing with data conflicts that arise and performs routine maintenance as needed.,https://www.indeed.com/viewjob?jk=cd2b773bed8221e3&from=serp&vjs=3
Static Data Associate,StoneX Group,"Chicago, IL 60604 (The Loop area)","Regularly audit static data files to ensure accuracy.
Responsible for processing static data in GMI specifically new account and commission and fee tables as…",https://www.indeed.com/viewjob?jk=5df0783c11a4047a&from=serp&vjs=3
Enterprise Data Operations Supervisor - REMOTE,"Ferguson Enterprises, LLC","Remote in Richmond, VA 23219","Proposing changes in data production processes to reduce errors and improve data quality.
Exhibits basic understanding of data governance.",https://www.indeed.com/viewjob?jk=4a0b1186f815460c&from=serp&vjs=3
Data Engineer,Index Analytics Llc,"Windsor Mill, MD 21244 (Howard Park area)","Cognos and SAS interaction with the data infrastructure.
Experience in Big Data and working in a data engineering role.
5 + years of overall work experience.",https://www.indeed.com/viewjob?jk=de1c08431607a20b&from=serp&vjs=3
[HackerRank] Software Engineer Graduate (AI Platform) - 2025 Start (BS/MS),TikTok,"San Jose, CA","Strong CS fundamentals (algorithms and data structures) and problem-solving skills.
By utilizing AI model training, optimization, deployment and applications,…",https://www.indeed.com/viewjob?jk=faee7de8a0ceb923&from=serp&vjs=3
Product Data Analyst,Radancy,United States,"Strong proficiency in Python and SQL for data analysis and manipulation.
Provide insights and recommendations to support data-driven product development and…",https://www.indeed.com/viewjob?jk=f879fc069e1c1835&from=serp&vjs=3
Research Data Coordinator Palliative Care & Rehab Med Research,MD Anderson Cancer Center,"Hybrid work in Houston, TX 77030","Perform data review, data collection for assigned retrospective studies.
Participate in research activities including registration and data entry.",https://www.indeed.com/viewjob?jk=20499cf7be0bb4f0&from=serp&vjs=3
Tier II Database Coordinator - Districtwide,Interboro School District,"Glenolden, PA 19036","Collaborate with stakeholders to generate reports to aid District data-driven strategic planning.
Coordinate and communicate required data changes, additions,…",https://www.indeed.com/viewjob?jk=d4cae28ee80557b5&from=serp&vjs=3
Data Engineer,Deloitte,"Charlotte, NC","Create end-to-end data pipelines that efficiently collect, transform, and load data from various sources to your designated destinations.",https://www.indeed.com/viewjob?jk=03e25d35bc2e9518&from=serp&vjs=3
"Data Analytics & Sr. BI Analyst (EX3, CL4)",Honda,"Hybrid work in Torrance, CA 90501","Familiar with Microsoft PowerBI (or similar), data analysis, data science is a plus.
Focusing on financial accuracy as well as regulatory compliance supporting…",https://www.indeed.com/viewjob?jk=b326422e5e81e18a&from=serp&vjs=3
Payroll and Data Entry Administrator,"Cupertino Electric, Inc.","San Jose, CA 95112 (Downtown area)","Identify and investigate source documents for data accuracy and completeness.
Accurately enter confidential personal and tax data into various computer systems…",https://www.indeed.com/viewjob?jk=18c81833aa0f44bf&from=serp&vjs=3
Business Analyst,Axiologic Solutions,"Washington, DC","Develop cost models and estimates, based on independent data and total cost of ownership and provide updates as required for the Program Office’s service…",https://www.indeed.com/viewjob?jk=134d66b146a1798f&from=serp&vjs=3
"Lead, Data Intelligence & Visualization","Vizient, Inc.","Centennial, CO","Strong knowledge and experience working with healthcare data is required.
You will collaborate closely with enterprise principals and cross-functional data…",https://www.indeed.com/viewjob?jk=ab58127d48c6372e&from=serp&vjs=3
Data Engineer,State of Indiana,"Indianapolis, IN 46204 (Downtown area)","Ability to design complex data architectures to support the use of agency data;
This role will blend system administration and development skills to build…",https://www.indeed.com/viewjob?jk=786d9fe554f989ed&from=serp&vjs=3
"Corporate Counsel, Data Infrastructure",TikTok,"Seattle, WA",Strong legal experience in-house and/or in a reputable law firm working in data centers and the digital infrastructure field.,https://www.indeed.com/viewjob?jk=1e9232376c9e7830&from=serp&vjs=3
Analyst - Accounting Data Analytics,Verizon,"Hybrid work in Lake Mary, FL","Experience mining various data sources and or providing visualization and analysis of complex data structures.
Manages Data Process and ensures Data Quality.",https://www.indeed.com/viewjob?jk=48b093c1038cb74c&from=serp&vjs=3
Master Data Analyst,Milwaukee Electric Tool Corporation,"Hybrid work in Milwaukee, WI",Our Supply Chain Team is responsible for ensuring the right product in the right quantity will be delivered to the right location at the right time; while…,https://www.indeed.com/viewjob?jk=815de30f297b4c09&from=serp&vjs=3
"Cybersecurity and Data Privacy Associates (NY, DC, SV) - Junior to Mid level",EachHire,California,"Experience assisting with: (i) cybersecurity preparedness and data breach response, (ii) compliance with cybersecurity and data privacy law in the US, and/or …",https://www.indeed.com/viewjob?jk=f06bccf63ed52bf1&from=serp&vjs=3
Data Scientist,Navy Federal Credit Union,"Pensacola, FL 32526","Analyze and interpret data results with limited complexity.
1-2 years of experience in exploratory data analysis.
SQL, R, Python, Hadoop, SAS, SPSS, Scala, AWS.",https://www.indeed.com/viewjob?jk=356a6352f7ed2689&from=serp&vjs=3
Engineer - Data/GCP,Amex,"Hybrid work in Phoenix, AZ","Well versed with GCP offerings, hands on experience with building data pipelines on GCP.
Contributes to design, development, solving, debugging, evaluating,…",https://www.indeed.com/viewjob?jk=661147173ebaacce&from=serp&vjs=3
Data Quality Professional,CoreLogic,"Hybrid work in Irvine, CA","Maintain inventory and ensure enforcement of data quality rules.
Develop test plans for new data acquisitions and ensure proper testing in development.",https://www.indeed.com/viewjob?jk=2129242e1839e3f1&from=serp&vjs=3
Data Analytics Manager,United Airlines,"Chicago, IL","Modeling and coding of data.
Desire to attack complex data sets.
Strong problem-solving skills, using data to tackle problems.
Exposure to Python, Spark, R.",https://www.indeed.com/viewjob?jk=c3ab560156885f88&from=serp&vjs=3
"Specialist, Broadcast and Data Systems","Mazda Toyota Manufacturing, U.S.A.","Huntsville, AL","Proficiency in data management practices & software.
Experience with data processing/analysis systems such as PowerBI, Excel, Python, R, or equivalent data…",https://www.indeed.com/viewjob?jk=b39591ccc1fc8088&from=serp&vjs=3
"FlightAware - Sales Executive, Data Reports (Remote)",Collins Aerospace,Remote in Texas,"Prior sales experience with data and/or data reporting within a SaaS organization.
This position sits at the crossroads of aviation and data and the primary…",https://www.indeed.com/viewjob?jk=3a3b3c66c5061dae&from=serp&vjs=3
"College Football Data Scout - Ruston/Monroe, LA",Scouting Heroes,"Ruston, LA",Record and collect real-time data on our Data Collection Tool and work closely with the game-day support team to ensure data is being recorded quickly and…,https://www.indeed.com/viewjob?jk=f1dcdc4d611ead7c&from=serp&vjs=3
Data Warehouse Lead,Leidos,"Washington, DC",Ensure the data warehouse architecture supports future scalability and adaptability to meet evolving data analysis and intelligence requirements.,https://www.indeed.com/viewjob?jk=198bcfee9822abb8&from=serp&vjs=3
DATA ANALYST ACO,Methodist Health System,"Dallas, TX","Devise creative solutions to accommodate partial data sets and custom data formats.
To include timeliness of data submissions and accuracy of the data sources,…",https://www.indeed.com/viewjob?jk=791a1cf2f3d5315e&from=serp&vjs=3
"Research Associate, Data Science",Virginia Tech,"Arlington, VA (Bluemont area)","Successful candidates for this position will have relevant experience in one or more of the following areas: statistics, systems engineering, data science, or…",https://www.indeed.com/viewjob?jk=ef50108629954302&from=serp&vjs=3
Human-in-the-Loop Data Extraction/Transcription,IBM,"Keyser, WV 26726","Prior data entry experience with strong attention to detail.
Overall duties will consist of making phone calls to private healthcare providers, data entry,…",https://www.indeed.com/viewjob?jk=43f17f3076df8d57&from=serp&vjs=3
Office Assistant 3 (WCCW Records),State of Washington Dept. of Corrections,"Gig Harbor, WA","Enter data on fingerprint cards ensuring accuracy.
General clerical experience can be defined as: experience in answering incoming calls, redirecting incoming…",https://www.indeed.com/viewjob?jk=f646683e9e915edf&from=serp&vjs=3
Data Governance Project Manager,Derex Technologies Inc,"Atlanta, GA","MUST have exposure to Alation , Manta and Atacama (has deployed projects using ALATION, ATACCAMMA and MANTA).
Full ownership of all PM activities for the effort…",https://www.indeed.com/viewjob?jk=aa309763cfec5c8c&from=serp&vjs=3
Instructional Materials Data Analyst-15-20hrs/week-hours negotiable,Coppell ISD,"Coppell, TX 75019","Ability to interpret policy, procedures, and data.
POSITION TITLE: Instructional Materials Data Analyst-15-20hrs/week-hours negotiable.",https://www.indeed.com/viewjob?jk=b4158d3c8eee3ccf&from=serp&vjs=3
Market Data Management Associate,SS&C,"Hybrid work in Dublin, OH","Assist in managing relationships with market data vendors as the primary global data sourcing contact.
Work with data providers, senior management, various…",https://www.indeed.com/viewjob?jk=d4cb05b48396e380&from=serp&vjs=3
Data Modeler,Uline,"Pleasant Prairie, WI 53158","Perform data profiling / analysis activities.
Work with database administrators to develop and ensure adherence to data modeling standards as well as deployment…",https://www.indeed.com/viewjob?jk=b0a1998108779f55&from=serp&vjs=3
Data Center Engineer,Motorola Solutions,"Westminster, CO 80021","3+ years of experience working in a data center operations role.
3+ years of experience working in a data center operations role with experience working …",https://www.indeed.com/viewjob?jk=2e6e190dc2731d91&from=serp&vjs=3
Data Coordinator,Freshfields Bruckhaus Deringer LLP,"Raleigh, NC","Inputs into the documentation of data governance to ensure end to end data quality, accuracy and consistency.
Experience in running reporting or insights.",https://www.indeed.com/viewjob?jk=659aee1ca7939fa0&from=serp&vjs=3
Sophomore Summer Business Analyst,McKinsey & Company,"Atlanta, GA 30303 (Downtown area)","You’ll work in teams of typically 3-5 consultants, playing an active role in all aspects of the engagement.
This includes gathering and analyzing information,…",https://www.indeed.com/viewjob?jk=cce060fbb7a85fd9&from=serp&vjs=3
Strategy & Data Analytics Specialist,Transformation Church,"Fort Mill, SC 29707","Data Management: Support TC’s data management, including data governance, data quality, and data analysis.
Reports To: Strategy & Data Analytics Lead.",https://www.indeed.com/viewjob?jk=350f6492b983de54&from=serp&vjs=3
"Customer Engineer II, Data Analytics, Google Cloud",Google,"Boulder, CO (Whittier area)","Experience with developing data warehousing, data lakes, batch/real-time event processing, streaming, data processing (e.g., ETL/ELT), data migrations, data…",https://www.indeed.com/viewjob?jk=c38af8ae8553f55f&from=serp&vjs=3
Data Analytics Developer,Logan Health,"Kalispell, MT 59901",Optimizes data warehouse performance by dealing with data conflicts that arise and performs routine maintenance as needed.,https://www.indeed.com/viewjob?jk=cd2b773bed8221e3&from=serp&vjs=3
Static Data Associate,StoneX Group,"Chicago, IL 60604 (The Loop area)","Regularly audit static data files to ensure accuracy.
Responsible for processing static data in GMI specifically new account and commission and fee tables as…",https://www.indeed.com/viewjob?jk=5df0783c11a4047a&from=serp&vjs=3
Enterprise Data Operations Supervisor - REMOTE,"Ferguson Enterprises, LLC","Remote in Richmond, VA 23219","Proposing changes in data production processes to reduce errors and improve data quality.
Exhibits basic understanding of data governance.",https://www.indeed.com/viewjob?jk=4a0b1186f815460c&from=serp&vjs=3
Data Engineer,Index Analytics Llc,"Windsor Mill, MD 21244 (Howard Park area)","Cognos and SAS interaction with the data infrastructure.
Experience in Big Data and working in a data engineering role.
5 + years of overall work experience.",https://www.indeed.com/viewjob?jk=de1c08431607a20b&from=serp&vjs=3
[HackerRank] Software Engineer Graduate (AI Platform) - 2025 Start (BS/MS),TikTok,"San Jose, CA","Strong CS fundamentals (algorithms and data structures) and problem-solving skills.
By utilizing AI model training, optimization, deployment and applications,…",https://www.indeed.com/viewjob?jk=faee7de8a0ceb923&from=serp&vjs=3
Research Data Support Analyst,Yale University,"Hybrid work in New Haven, CT 06511",The ideal candidate is a knowledgeable data enthusiast interested in exploring new interdisciplinary data resources and working to learn and implement new data…,https://www.indeed.com/viewjob?jk=81c23b4c01315e95&from=serp&vjs=3
Data Analyst Advisor,Fedex,"Memphis, TN 38125 (Windyke-Southwind area)","Designs and implements advanced processes and analytics associated with a wide range of variety of data sets used for data/text mining, analysis, and prediction…",https://www.indeed.com/viewjob?jk=b3688415ef54504e&from=serp&vjs=3
Flight Data and Certification Analyst,Embry-Riddle Aeronautical University,"Daytona Beach, FL 32114",The Flight Data & Certification Department in Flight Operations at our Daytona Beach Campus is currently accepting applications for the position of Flight Data…,https://www.indeed.com/viewjob?jk=e4d2e51cf6146aa5&from=serp&vjs=3
Data Entry Operator II,B3H Corporation,"Crane, IN","Operates keyboard-controlled data entry devices such as a computer, key-operated magnetic tape, or disc encoder to transcribe data into a format suitable for…",https://www.indeed.com/viewjob?jk=05b98ff25d45941a&from=serp&vjs=3
Data Coordinator (Systems & Compliance),UCLA Health,"Santa Monica, CA","Updates records and extracts data from highly sensitive records.
Trains staff and new hires in the department’s data programs/systems and serves as a resource…",https://www.indeed.com/viewjob?jk=582bcb267d0d9537&from=serp&vjs=3
Data Analyst,NYU Langone Health,"New York, NY 10016 (Tudor City area)","Demonstrated proficiency with finance/accounting principles and Microsoft Excel for data analysis, fiscal management, and reporting.",https://www.indeed.com/viewjob?jk=0d6de6fc1ee1f961&from=serp&vjs=3
Clinical Data Manager II,RHO,United States,"Helps in creation and implementation of data management plans (DMPs), data entry guidelines, data completion guidelines and other study documents.",https://www.indeed.com/viewjob?jk=b7120199a7c99d0d&from=serp&vjs=3
SENIOR DATA ANALYST,NORTH EAST MEDICAL SERVICES,United States,"Perform research by gathering data from a variety of healthcare sources, including internal and external data/research.
This is an FLSA Exempt position.",https://www.indeed.com/viewjob?jk=e024e330774c917c&from=serp&vjs=3
Data Visualization Developer (0652U) 70377,University of California Berkeley,"Berkeley, CA 94720",The incumbent will be a seasoned data visualization developer with interest and experience complementing teams that address environmental challenges with data…,https://www.indeed.com/viewjob?jk=3de8dd9e2ab40df0&from=serp&vjs=3
Data Scientist- CalAIM,"Public Health Foundation Enterprises, In","Los Angeles, CA 90014","Coordinates and contributes to complex projects that require using advanced methods of data science such as cloud-based data design; data extraction,…",https://www.indeed.com/viewjob?jk=e74f4f502a36f16c&from=serp&vjs=3
RA Data Analytics Apprentice,DSM,Connecticut,"Maintain databases and systems – reorganizing data in a readable format;
Maintaining reports for the management using relevant data; •Follow Standard…",https://www.indeed.com/viewjob?jk=247c35234f64904a&from=serp&vjs=3
"Manager, Business Analysis",CVS Health,"Remote in Richmond, VA","5+ years of experience in data analytics.
~ Utilize Microsoft Transact-SQL for testing, troubleshooting, and providing data to business units on an ad hoc basis…",https://www.indeed.com/viewjob?jk=7ce0bbf37572d86e&from=serp&vjs=3
Data Scientist,Mimecast,"Lexington, MA 02421","At Mimecast, we deliver the right data to the right people at the right time, supporting data-driven decisions with self-service dashboards, custom alerts, and…",https://www.indeed.com/viewjob?jk=fbcf62571748d6b4&from=serp&vjs=3
Configuration Analysts,NTT DATA,"Remote in Murray, UT","Experience with relational databases and data models.
Outsourcing is not just a method of gaining a one-time cost advantage, but an effective strategy for…",https://www.indeed.com/viewjob?jk=c8a1d59a05976cea&from=serp&vjs=3
Data Analyst Sr.,EdPlus at Arizona State University,"Hybrid work in Scottsdale, AZ 85257",Ensure 1st-party data collection is consistent following established data-layer standards and user consent preferences.,https://www.indeed.com/viewjob?jk=f606279917b79709&from=serp&vjs=3
Data and Quality Analyst,D-H Medical Center,"Lebanon, NH 03756","Facility with computerized data management and the organization of quantitative data.
Ensures the cyclical data management and data analysis are carried out in…",https://www.indeed.com/viewjob?jk=3b901da183159569&from=serp&vjs=3
"Data Systems Specialist,- REACH",Evergreen Treatment Services & REACH,"Seattle, WA 98121 (Belltown area)","Assisting programmatic staff by doing data entry and data “clean-up”.
Experience reviewing and interpreting data and reports is required.",https://www.indeed.com/viewjob?jk=5416e6bbda23571e&from=serp&vjs=3
Data Scientist,Intone Networks,"Hybrid work in Baltimore, MD",Title - Data Scientist Location- Baltimore-MD Hybrid onsite in MD- 2 days a…,https://www.indeed.com/viewjob?jk=6c8e077d1f35c26c&from=serp&vjs=3
Business Analyst I,H-E-B,"San Antonio, TX 78204 (Lone Star area)","Prepares and analyzes audit reports to ensure data integrity.
The team also oversees our Mexico Division's accounting, tax, and finance operations.",https://www.indeed.com/viewjob?jk=fde32444866bf688&from=serp&vjs=3
Data Analyst,"City of Lynchburg, VA","Lynchburg, VA 24504","Experience with data modeling and data analysis.
Build extensive data analytics products with multiple large data sources using data platforms such as PowerBI…",https://www.indeed.com/viewjob?jk=335a77d0000f76dd&from=serp&vjs=3
Provider Network Data Associate II,L.A. Care Health Plan,"Los Angeles, CA 90017 (Westlake area)","The position is responsible for assisting in the collection, analysis and evaluation of data in order to conduct complex studies through the use of statistical…",https://www.indeed.com/viewjob?jk=5bc7bd2244b31c08&from=serp&vjs=3
Data Scientist,Mimecast,"Lexington, MA 02421","At Mimecast, we deliver the right data to the right people at the right time, supporting data-driven decisions with self-service dashboards, custom alerts, and…",https://www.indeed.com/viewjob?jk=fbcf62571748d6b4&from=serp&vjs=3
Configuration Analysts,NTT DATA,"Remote in Murray, UT","Experience with relational databases and data models.
Outsourcing is not just a method of gaining a one-time cost advantage, but an effective strategy for…",https://www.indeed.com/viewjob?jk=c8a1d59a05976cea&from=serp&vjs=3
Data Analyst Sr.,EdPlus at Arizona State University,"Hybrid work in Scottsdale, AZ 85257",Ensure 1st-party data collection is consistent following established data-layer standards and user consent preferences.,https://www.indeed.com/viewjob?jk=f606279917b79709&from=serp&vjs=3
Data and Quality Analyst,D-H Medical Center,"Lebanon, NH 03756","Facility with computerized data management and the organization of quantitative data.
Ensures the cyclical data management and data analysis are carried out in…",https://www.indeed.com/viewjob?jk=3b901da183159569&from=serp&vjs=3
"Data Systems Specialist,- REACH",Evergreen Treatment Services & REACH,"Seattle, WA 98121 (Belltown area)","Assisting programmatic staff by doing data entry and data “clean-up”.
Experience reviewing and interpreting data and reports is required.",https://www.indeed.com/viewjob?jk=5416e6bbda23571e&from=serp&vjs=3
Data Scientist,Intone Networks,"Hybrid work in Baltimore, MD",Title - Data Scientist Location- Baltimore-MD Hybrid onsite in MD- 2 days a…,https://www.indeed.com/viewjob?jk=6c8e077d1f35c26c&from=serp&vjs=3
Business Analyst I,H-E-B,"San Antonio, TX 78204 (Lone Star area)","Prepares and analyzes audit reports to ensure data integrity.
The team also oversees our Mexico Division's accounting, tax, and finance operations.",https://www.indeed.com/viewjob?jk=fde32444866bf688&from=serp&vjs=3
Data Analyst,"City of Lynchburg, VA","Lynchburg, VA 24504","Experience with data modeling and data analysis.
Build extensive data analytics products with multiple large data sources using data platforms such as PowerBI…",https://www.indeed.com/viewjob?jk=335a77d0000f76dd&from=serp&vjs=3
Provider Network Data Associate II,L.A. Care Health Plan,"Los Angeles, CA 90017 (Westlake area)","The position is responsible for assisting in the collection, analysis and evaluation of data in order to conduct complex studies through the use of statistical…",https://www.indeed.com/viewjob?jk=5bc7bd2244b31c08&from=serp&vjs=3
Integrated Data Repository,Softrams,Remote,"Performs hands-on IDR data query work and/or guides others in needed data queries, data engineering, and data analysis.
This is a full-time W-2 opportunity.",https://www.indeed.com/viewjob?jk=7a843dee4acc3d1e&from=serp&vjs=3
Data Science Specialist,Tufts University,"Hybrid work in Somerville, MA 02144","Support for data science scholarship includes cutting-edge methods and tools for data engineering, data analysis, and data visualization.",https://www.indeed.com/viewjob?jk=8ed82aba35a7c587&from=serp&vjs=3
Database Administrator,NAVEX Global,"Lake Oswego, OR 97035 (Lake Forest area)","Update production data to implement and support new and existing customers.
Implement and maintain data integration between customer and non-customer databases…",https://www.indeed.com/viewjob?jk=13cf5e2f7eb0db17&from=serp&vjs=3
Sr. Data Engineer,Craft.co,Remote in United States,"Support in setting data strategies and our vision.
Building and optimizing data pipelines (batch and streaming).
3+ years of experience in Data Engineering.",https://www.indeed.com/viewjob?jk=d76d441549382353&from=serp&vjs=3
Billing Clerk / POS Data Entry,"Klafters, Inc/ Smoker Friendly","New Castle, PA 16101","Accuracy in data entry is critical.
Accurate data entry for credit card processing and invoice processing.
At least 1 year of billing or data entry experience…",https://www.indeed.com/viewjob?jk=71b16449d6611bdd&from=serp&vjs=3
BI Data Analytics Reporting Analyst,ORIX,"Dallas, TX","Develop and execute database queries and conduct data analysis.
Assist in data collection and reporting for rating agencies with respect to statistical…",https://www.indeed.com/viewjob?jk=1e12a78a1f616631&from=serp&vjs=3
Student Data Analyst,Washington Elementary School District 6,"Phoenix, AZ 85029 (North Mountain area)",Communicates with District departments and school office staff to make necessary data corrections and/or to provide queried data and other related-information.,https://www.indeed.com/viewjob?jk=d1373ca41a1227df&from=serp&vjs=3
TikTok Shop - Data Scientist,TikTok,"Seattle, WA","Leverage data science expertise to design data solutions to solve commerce operation and product problems such as supply growth, user growth and marketplace…",https://www.indeed.com/viewjob?jk=3c99d5f7e1f3bbb0&from=serp&vjs=3
Director-Data Analytics,Amex,"Hybrid work in New York, NY","The team specializes in using data around digital marketing, internal acquisitions data, external channel data and investment data to improve our ROI across the…",https://www.indeed.com/viewjob?jk=41b7c2943cfc957c&from=serp&vjs=3
Mathematical Statistician (Data Scientist),U.S. Department of Justice,"Washington, DC 20530 (Downtown area)",Writing code in statistical and data science software applications and programming languages to analyze a wide variety of data.,https://www.indeed.com/viewjob?jk=734b3c20990eb50d&from=serp&vjs=3
Database Architect 1470 (Revised 05-01-24),"City of Los Angeles, CA","Los Angeles, CA 90012 (Downtown area)","A Database Architect performs technical and administrative work in the development of standards, methods, techniques, policies, procedures, data analyses, data…",https://www.indeed.com/viewjob?jk=2a63e3bb03c6663e&from=serp&vjs=3
